기업명(한글),기업명(영문),그룹/리전(시장),카테고리,보조키워드,제외키워드,
씨엔티테크,CNT Tech,Korea,타 하우스 AC · VC 동향,,,
더인벤션랩,The Invention Lab,Korea,타 하우스 AC · VC 동향,,,
퓨처플레이,FuturePlay,Korea,타 하우스 AC · VC 동향,,,
케이비인베스트먼트,KB Investment,Korea,타 하우스 AC · VC 동향,,,
알토스벤처스,Altos Ventures,Korea,타 하우스 AC · VC 동향,,,
한국투자파트너스,Korea Investment Partners,Korea,타 하우스 AC · VC 동향,,,
캡스톤파트너스,Capstone Partners,Korea,타 하우스 AC · VC 동향,,,
스프링캠프,Springcamp,Korea,타 하우스 AC · VC 동향,,,
카카오벤처스,Kakao Ventures,Korea,타 하우스 AC · VC 동향,,,
소프트뱅크벤처스,SBVA,Korea,타 하우스 AC · VC 동향,,,
N15파트너스,N15 Partners,Korea,타 하우스 AC · VC 동향,,,
한국사회투자,Korea Social Investment,Korea,타 하우스 AC · VC 동향,,,
네이버 D2SF,Naver D2SF,Korea,타 하우스 AC · VC 동향,,,
빅뱅엔젤스,Big Bang Angels,Korea,타 하우스 AC · VC 동향,,,
코리아스타트업포럼,Korea Startup Forum,Korea,타 하우스 AC · VC 동향,,,
본엔젤스,Bon Angels,Korea,타 하우스 AC · VC 동향,,,
매쉬업엔젤스,Mashup Angels,Korea,타 하우스 AC · VC 동향,,,
미래에셋벤처투자,Mirae Asset Venture Investment,Korea,타 하우스 AC · VC 동향,,,
IMM인베스트먼트,IMM Investment,Korea,타 하우스 AC · VC 동향,,,
LB인베스트먼트,LB Investment,Korea,타 하우스 AC · VC 동향,,,
에이티넘인베스트먼트,Atinum Investment,Korea,타 하우스 AC · VC 동향,,,
DSC인베스트먼트,DSC Investment,Korea,타 하우스 AC · VC 동향,,,
스톤브릿지벤처스,Stonebridge Ventures,Korea,타 하우스 AC · VC 동향,,,
인터베스트,InterVest,Korea,타 하우스 AC · VC 동향,,,
컴퍼니케이파트너스,Company K Partners,Korea,타 하우스 AC · VC 동향,,,
위벤처스,We Ventures,Korea,타 하우스 AC · VC 동향,,,
우리벤처파트너스,Woori Venture Partners,Korea,타 하우스 AC · VC 동향,,,
하나벤처스,Hana Ventures,Korea,타 하우스 AC · VC 동향,,,
신한벤처투자,Shinhan Venture Investment,Korea,타 하우스 AC · VC 동향,,,
TS인베스트먼트,TS Investment,Korea,타 하우스 AC · VC 동향,,,
프리미어파트너스,Premier Partners,Korea,타 하우스 AC · VC 동향,,,
SBI인베스트먼트,SBI Investment,Korea,타 하우스 AC · VC 동향,,,
KTB네트워크,KTB Network,Korea,타 하우스 AC · VC 동향,,,
삼성벤처투자,Samsung Venture Investment,Korea,타 하우스 AC · VC 동향,,,
현대자동차 제로원,Hyundai ZER01NE,Korea,타 하우스 AC · VC 동향,,,
LG테크놀로지벤처스,LG Technology Ventures,Korea,타 하우스 AC · VC 동향,,,
SK텔레콤 트루이노베이션,SK Telecom True Innovation,Korea,타 하우스 AC · VC 동향,,,
KT인베스트먼트,KT Investment,Korea,타 하우스 AC · VC 동향,,,
시그나이트파트너스,Signite Partners,Korea,타 하우스 AC · VC 동향,,,
CJ인베스트먼트,CJ Investment,Korea,타 하우스 AC · VC 동향,,,
포스코기술투자,POSCO Technology Investment,Korea,타 하우스 AC · VC 동향,,,
롯데벤처스,Lotte Ventures,Korea,타 하우스 AC · VC 동향,,,
GS벤처스,GS Ventures,Korea,타 하우스 AC · VC 동향,,,
HD현대미래파트너스,HD Hyundai Mirae Partners,Korea,타 하우스 AC · VC 동향,,,
안데르센호로위츠,Andreessen Horowitz,Korea,타 하우스 AC · VC 동향,,,
라이트스피드,Lightspeed Venture Partners,Korea,타 하우스 AC · VC 동향,,,
액셀,Accel,Korea,타 하우스 AC · VC 동향,,,
타이거글로벌,Tiger Global Management,Korea,타 하우스 AC · VC 동향,,,
굿워터캐피탈,Goodwater Capital,Korea,타 하우스 AC · VC 동향,,,
스트롱벤처스,Strong Ventures,Korea,타 하우스 AC · VC 동향,,,
빅베이슨캐피탈,Big Basin Capital,Korea,타 하우스 AC · VC 동향,,,
테크스타스,Techstars,Korea,타 하우스 AC · VC 동향,,,
인사이트파트너스,Insight Partners,Korea,타 하우스 AC · VC 동향,,,
베세머벤처파트너스,Bessemer Venture Partners,Korea,타 하우스 AC · VC 동향,,,
코슬라벤처스,Khosla Ventures,Korea,타 하우스 AC · VC 동향,,,
펀더스클럽,FundersClub,Korea,타 하우스 AC · VC 동향,,,
엔데버,Endeavor,Korea,타 하우스 AC · VC 동향,,,
스타트업레시피,Startup Recipe,Korea,타 하우스 AC · VC 동향,,,
모비인사이드,Mobiinside,Korea,타 하우스 AC · VC 동향,,,
임팩트스퀘어,Impact Square,Korea,타 하우스 AC · VC 동향,,,
D3쥬빌리파트너스,D3 Jubilee Partners,Korea,타 하우스 AC · VC 동향,,,
크레비스파트너스,Crevisse Partners,Korea,타 하우스 AC · VC 동향,,,
옐로우독,Yellowdog,Korea,타 하우스 AC · VC 동향,,,
한국액셀러레이터협회,Korea Accelerator Association,Korea,타 하우스 AC · VC 동향,,,
한국벤처캐피탈협회,Korean Venture Capital Association,Korea,타 하우스 AC · VC 동향,,,
스타트업얼라이언스,Startup Alliance,Korea,타 하우스 AC · VC 동향,,,
